FISCAL_YEAR,FISCAL_PERIOD,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESCR,TRANS_DT,MERCHANDISE_AMT
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,DOUBLETREE HOTELS WASHING,LODGING,06-03-2014,-5.5
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,18.31
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,21.61
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,22.39
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2014,5.44
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/26/2014,17.17
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,TAPAS ON MAIN,EATING PLACES RESTAURANTS,6/26/2014,32.67
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,TAPAS ON MAIN,EATING PLACES RESTAURANTS,6/26/2014,32.89
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,USAIRWAYS 0372363267867,AIRLINE,6/26/2014,25
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,MTC INC,EATING PLACES RESTAURANTS,6/27/2014,12.33
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMAZON.COM,BOOK STORES,6/27/2014,179
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMAZON.COM,BOOK STORES,6/27/2014,179
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BOS TAXI 1632,TRAVEL,6/27/2014,30.3
